episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.6020217369999727,True,False
2,500.0,716,1101,0.1,0.024628109979228333,1.8578676460000452,True,False
3,470.0,564,1665,0.1,0.027630848125620673,4.2178635740000345,True,False
4,1020.0,710,2375,0.1,0.02907503435143538,7.22609330399996,True,False
5,540.0,521,2896,0.1,0.03848330798836155,9.156891566000013,True,False
6,440.0,616,3512,0.1,0.03646340079351582,11.356497240999943,True,False
7,660.0,744,4256,0.1,0.036551347314079684,13.964639383999952,True,False
8,330.0,513,4769,0.1,0.03789392376711476,15.89212700600001,True,False
9,490.0,477,5246,0.1,0.03504047194982981,18.261102445999995,True,False
10,380.0,492,5738,0.1,0.03896485144893328,20.03401656699998,True,False
11,830.0,763,6501,0.1,0.042819392399896544,22.714749866000034,True,False
12,610.0,551,7052,0.1,0.039162358904318156,24.727271316000042,True,False
13,490.0,594,7646,0.1,0.04275458655634744,26.84699848599996,True,False
14,650.0,1128,8774,0.1,0.036136336285284065,31.400916337000012,True,False
15,580.0,686,9460,0.1,0.03669418802019209,33.82398457700003,True,False
16,830.0,771,10231,0.1,0.038957445764632816,36.56348184299998,True,False
17,500.0,604,10835,0.1,0.04091464451495681,38.69619934000002,True,False
18,950.0,656,11491,0.1,0.040166276055615305,41.01042535299996,True,False
19,280.0,457,11948,0.1,0.03450973720350505,43.25921313899994,True,False
20,380.0,403,12351,0.1,0.03908733262913302,44.901210297000034,True,False
21,560.0,649,13000,0.1,0.03635153505934025,47.213263291999965,True,False
22,1640.0,975,13975,0.1,0.04114697196467208,50.57619575599995,True,False
23,430.0,555,14530,0.1,0.04244918353678056,52.578253563999965,True,False
24,400.0,492,15022,0.1,0.04273606208720949,54.611875459999965,True,False
25,370.0,442,15464,0.1,0.042920229100697746,57.77688964799995,True,False
26,470.0,513,15977,0.1,0.04032134052977199,61.70190546799995,True,False
27,350.0,622,16599,0.1,0.04334633348269328,63.89883669899996,True,False
28,1170.0,814,17413,0.1,0.0406093433026827,66.823295455,True,False
29,510.0,784,18197,0.1,0.040609802376022755,70.18029563999994,True,False
30,1350.0,639,18836,0.1,0.03946623865049333,72.43824636199997,True,False
31,610.0,572,19408,0.1,0.04195735135955827,74.51065169599997,True,False
32,1480.0,963,20371,0.1,0.0421100398118142,77.80327834699995,True,False
33,540.0,492,20863,0.1,0.042833138102044664,79.70632798199995,True,False
34,990.0,1015,21878,0.1,0.048326330576605334,83.74149726300004,True,False
35,970.0,738,22616,0.1,0.04665697893077457,86.35071978199994,True,False
36,590.0,665,23281,0.1,0.0506271523737674,88.69056329900002,True,False
37,600.0,614,23895,0.1,0.052875692834408065,90.88054277499998,True,False
38,460.0,434,24329,0.1,0.05177203430409689,92.70767970899999,True,False
39,280.0,492,24821,0.1,0.05307907296147773,94.9700001,True,False
40,830.0,615,25436,0.1,0.05114802043558425,97.19105928900001,True,False
41,490.0,554,25990,0.1,0.054759241738424135,99.16337081999995,True,False
42,1200.0,936,26926,0.1,0.05896195863636258,102.41671214400003,True,False
43,440.0,422,27348,0.1,0.06348494395508238,103.99228382199999,True,False
44,1140.0,884,28232,0.1,0.06157610998215044,107.682263089,True,False
45,810.0,571,28803,0.1,0.0599320731781633,109.73913689999995,True,False
46,900.0,996,29799,0.1,0.06317275141676267,113.20442097800003,True,False
47,500.0,693,30492,0.1,0.05296166659728892,115.66093359699994,True,False
48,500.0,639,31131,0.1,0.057590795593019925,118.195791461,True,False
49,2040.0,698,31829,0.1,0.05704202620046479,121.103675458,True,False
50,930.0,805,32634,0.1,0.06019907034887233,123.963482225,True,False
51,1550.0,891,33525,0.1,0.0554755876726166,129.97216299000002,True,False
52,640.0,654,34179,0.1,0.058309882476445904,132.85917905299993,True,False
53,600.0,594,34773,0.1,0.060981476191906324,135.00132861500003,True,False
54,900.0,571,35344,0.1,0.06400697518439664,137.03260649899994,True,False
55,380.0,354,35698,0.1,0.07686416595242918,138.345501249,True,False
56,890.0,582,36280,0.1,0.07265673660711475,140.42574199299997,True,False
57,600.0,563,36843,0.1,0.06800316023374242,142.42145710900002,True,False
58,340.0,481,37324,0.1,0.0758246845327133,144.78803519199994,True,False
59,980.0,696,38020,0.1,0.07611702562406145,147.32330544699994,True,False
60,920.0,563,38583,0.1,0.07368242785866772,149.31618381099997,True,False
61,620.0,597,39180,0.1,0.08728927568842967,151.426230025,True,False
62,580.0,674,39854,0.1,0.08307692480073976,153.77595337599996,True,False
63,1030.0,760,40614,0.1,0.07827555929359636,156.88508765999995,True,False
64,800.0,709,41323,0.1,0.08108359717863933,159.66782643199997,True,False
65,730.0,569,41892,0.1,0.07813484622881962,161.71203402799995,True,False
66,600.0,598,42490,0.1,0.08194196511735052,163.82079172499994,True,False
67,850.0,752,43242,0.1,0.07892611051384518,166.44174298199994,True,False
68,2480.0,902,44144,0.1,0.07794624485026024,170.168462901,True,False
69,770.0,649,44793,0.1,0.07047981560448713,172.49754342099993,True,False
70,460.0,637,45430,0.1,0.07498654483015058,174.83412487700002,True,False
71,840.0,655,46085,0.1,0.07144390201059783,177.180881194,True,False
72,1890.0,1143,47228,0.1,0.07539807260687743,181.35593921199995,True,False
73,350.0,392,47620,0.1,0.07621858124526179,183.25796518599998,True,False
74,390.0,505,48125,0.1,0.07719868143636083,185.05478483299999,True,False
75,660.0,514,48639,0.1,0.07493879032699624,186.89051788400002,True,False
76,640.0,605,49244,0.1,0.07077850236581933,190.909583226,True,False
77,610.0,669,49913,0.1,0.08279880881309509,193.441979285,True,False
78,290.0,413,50326,0.1,0.0671323795884269,195.55129609699998,True,False
79,970.0,811,51137,0.1,0.07225291905328264,198.36600359399995,True,False
80,400.0,496,51633,0.1,0.08654506570629535,200.14277247400003,True,False
81,460.0,482,52115,0.1,0.06956386361271143,201.87015783999993,True,False
82,360.0,459,52574,0.1,0.08027507376087749,203.54375842699994,True,False
83,1560.0,956,53530,0.1,0.07316593544082288,207.33966412999996,True,False
84,440.0,459,53989,0.1,0.0759945026072471,209.26248611100004,True,False
85,690.0,688,54677,0.1,0.07954532650386005,211.683080463,True,False
86,1710.0,931,55608,0.1,0.07621162120940347,214.91427302700004,True,False
87,790.0,626,56234,0.1,0.07901575814526623,217.142821745,True,False
88,550.0,629,56863,0.1,0.08292888172540315,219.74788648699996,True,False
89,690.0,841,57704,0.1,0.07490884287556483,222.99816914400003,True,False
90,470.0,571,58275,0.1,0.07001230732905088,225.021436269,True,False
91,480.0,472,58747,0.1,0.07499837862738108,226.727374327,True,False
92,640.0,513,59260,0.1,0.07476421011712893,228.60816008799998,True,False
93,350.0,526,59786,0.1,0.0775640424312526,230.49524494900004,True,False
94,1160.0,647,60433,0.1,0.07936629648377866,233.422058247,True,False
