episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.5777951219997703,True,False
2,460.0,702,1087,0.2,0.025979085529053755,1.7116479500000423,True,False
3,430.0,506,1593,0.2,0.027948453211166905,3.4009694540000055,True,False
4,1020.0,786,2379,0.2,0.026078951367912388,6.085609288999876,True,False
5,440.0,427,2806,0.2,0.025712926080287215,8.075001425999744,True,False
6,770.0,840,3646,0.2,0.03214613933371203,10.864086786999906,True,False
7,1020.0,736,4382,0.2,0.033264557812562205,13.304455782999867,True,False
8,330.0,509,4891,0.2,0.03658924428388608,15.07920461699996,True,False
9,430.0,611,5502,0.2,0.034457250544649175,17.14671789299973,True,False
10,390.0,590,6092,0.2,0.03338557168191639,19.44148613599964,True,False
11,420.0,489,6581,0.2,0.03347972089894208,23.59117102099981,True,False
12,550.0,617,7198,0.2,0.034305791504372685,25.874457654999787,True,False
13,1020.0,830,8028,0.2,0.03816640472751505,28.718145556999843,True,False
14,1330.0,902,8930,0.2,0.036996614779863095,32.14181644099972,True,False
15,630.0,718,9648,0.2,0.04275803646499601,34.970763197,True,False
16,350.0,481,10129,0.2,0.039110573270590976,36.61692608999965,True,False
17,390.0,476,10605,0.2,0.040834757033735514,38.268998282999746,True,False
18,430.0,468,11073,0.2,0.03864944076690918,39.89431266599968,True,False
19,300.0,369,11442,0.2,0.04219973457309053,41.204533506999724,True,False
20,550.0,727,12169,0.2,0.04174544564755327,43.71728048599971,True,False
21,880.0,747,12916,0.2,0.043995894327321476,46.83804102499971,True,False
22,570.0,657,13573,0.2,0.04114357362183311,49.05880679399979,True,False
23,650.0,765,14338,0.2,0.04460430994059364,51.60936869199986,True,False
24,650.0,580,14918,0.2,0.038745117890809117,53.59754297099971,True,False
25,810.0,920,15838,0.2,0.042007597367805634,57.837203833999865,True,False
26,220.0,365,16203,0.2,0.043145603428666406,61.397637243999725,True,False
27,650.0,668,16871,0.2,0.04147047273435457,63.61148902900004,True,False
28,1040.0,630,17501,0.2,0.0465439273268456,65.701821139,True,False
29,580.0,666,18167,0.2,0.045960740534117424,67.94352092999998,True,False
30,420.0,443,18610,0.2,0.046827911583891324,69.8194080989997,True,False
31,780.0,512,19122,0.2,0.050631574042199645,72.11274202699997,True,False
32,590.0,467,19589,0.2,0.05206319890343226,73.75400010999965,True,False
33,1430.0,662,20251,0.2,0.05515724929106055,75.98241353100002,True,False
34,980.0,937,21188,0.2,0.06380916935134125,79.10476176699967,True,False
35,720.0,692,21880,0.2,0.05711261750430385,81.38494806499966,True,False
36,560.0,487,22367,0.2,0.05761154266151269,83.54437999799984,True,False
37,1040.0,704,23071,0.2,0.05852195738010447,86.45605374599972,True,False
38,1270.0,812,23883,0.2,0.06548915877295979,89.36335869799996,True,False
39,350.0,456,24339,0.2,0.06246096237252156,90.98629264299962,True,False
40,470.0,461,24800,0.2,0.07376605906555879,92.60117550899986,True,False
41,660.0,576,25376,0.2,0.06169289922238224,94.82122475999995,True,False
42,1270.0,838,26214,0.2,0.06555104003016031,98.14340638699969,True,False
43,490.0,558,26772,0.2,0.06892087310552597,100.06231841199997,True,False
44,530.0,658,27430,0.2,0.0667146720849659,102.28752201799989,True,False
45,1250.0,1023,28453,0.2,0.06332097224913014,105.65022453999973,True,False
46,350.0,406,28859,0.2,0.0663604749929123,107.1955222659999,True,False
47,1640.0,793,29652,0.2,0.06068577571542718,110.43638746999977,True,False
48,290.0,533,30185,0.2,0.06754441130066052,112.27064275999965,True,False
49,930.0,928,31113,0.2,0.06577321932378129,115.36602535999964,True,False
50,440.0,413,31526,0.2,0.0638133734826324,116.80107564199989,True,False
51,740.0,809,32335,0.2,0.05995106789523201,122.17231668399972,True,False
52,240.0,404,32739,0.2,0.06877506220030903,123.60240426999962,True,False
53,500.0,668,33407,0.2,0.061749728106542265,125.90115848300002,True,False
54,1140.0,565,33972,0.2,0.0621069963254087,127.85409538199974,True,False
55,1020.0,630,34602,0.2,0.06330245782496632,129.99636984899962,True,False
56,460.0,562,35164,0.2,0.061346933826909845,131.9713693679996,True,False
57,310.0,583,35747,0.2,0.06476315031920014,134.66969596199988,True,False
58,450.0,417,36164,0.2,0.0730827274687943,136.15899767499968,True,False
59,930.0,880,37044,0.2,0.06663078937086869,139.0903205239997,True,False
60,720.0,735,37779,0.2,0.06997643328969026,141.54621869999983,True,False
61,1430.0,879,38658,0.2,0.06652293685739014,144.5089842829998,True,False
62,580.0,544,39202,0.2,0.05455729368088,146.897929362,True,False
63,500.0,560,39762,0.2,0.07186677899610783,148.93645070499997,True,False
64,2300.0,999,40761,0.2,0.06451172568649054,152.98051561199964,True,False
65,440.0,407,41168,0.2,0.06606107898166075,154.4320625299997,True,False
66,580.0,682,41850,0.2,0.06019043486894054,156.81139724399964,True,False
67,680.0,554,42404,0.2,0.06850469213568693,159.20606122799973,True,False
68,1160.0,988,43392,0.2,0.06668315499055723,162.78526521100002,True,False
69,780.0,609,44001,0.2,0.06310703559460021,164.85158091899984,True,False
70,310.0,431,44432,0.2,0.0645875994167808,166.39896167400002,True,False
71,840.0,631,45063,0.2,0.06968442428038474,168.63377800599983,True,False
72,970.0,667,45730,0.2,0.07878431286885888,171.21424695899987,True,False
